ISO-2,UN Region
AF,Asia
AX,Europe
AL,Europe
DZ,Africa
AS,Oceania
AD,Europe
AO,Africa
AI,Latin America and the Caribbean
AG,Latin America and the Caribbean
AR,Latin America and the Caribbean
AM,Asia
AW,Latin America and the Caribbean
AU,Oceania
AT,Europe
AZ,Asia
BS,Latin America and the Caribbean
BH,Asia
BD,Asia
BB,Latin America and the Caribbean
BY,Europe
BE,Europe
BZ,Latin America and the Caribbean
BJ,Africa
BM,North America
BT,Asia
BO,Latin America and the Caribbean
BQ,Latin America and the Caribbean
BA,Europe
BW,Africa
BR,Latin America and the Caribbean
BN,Asia
BG,Europe
BF,Africa
BI,Africa
KH,Asia
CM,Africa
CA,North America
CV,Africa
KY,Latin America and the Caribbean
CF,Africa
TD,Africa
CL,Latin America and the Caribbean
CN,Asia
CO,Latin America and the Caribbean
KM,Africa
CG,Africa
CD,Africa
CK,Oceania
CR,Latin America and the Caribbean
CI,Africa
HR,Europe
CU,Latin America and the Caribbean
CW,Latin America and the Caribbean
CY,Asia
CZ,Europe
DK,Europe
DJ,Africa
DM,Latin America and the Caribbean
DO,Latin America and the Caribbean
EC,Latin America and the Caribbean
EG,Africa
SV,Latin America and the Caribbean
GQ,Africa
ER,Africa
EE,Europe
ET,Africa
FK,Latin America and the Caribbean
FO,Europe
FJ,Oceania
FI,Europe
FR,Europe
GF,Latin America and the Caribbean
PF,Oceania
GA,Africa
GM,Africa
GE,Asia
DE,Europe
GH,Africa
GI,Europe
GR,Europe
GL,North America
GD,Latin America and the Caribbean
GP,Latin America and the Caribbean
GU,Oceania
GT,Latin America and the Caribbean
GG,Europe
GN,Africa
GW,Africa
GY,Latin America and the Caribbean
HT,Latin America and the Caribbean
VA,Europe
HN,Latin America and the Caribbean
HK,Asia
HU,Europe
IS,Europe
IN,Asia
ID,Asia
IR,Asia
IQ,Asia
IE,Europe
IM,Europe
IL,Asia
IT,Europe
JM,Latin America and the Caribbean
JP,Asia
JE,Europe
JO,Asia
KZ,Asia
KE,Africa
KI,Oceania
KP,Asia
KR,Asia
KW,Asia
KG,Asia
LA,Asia
LV,Europe
LB,Asia
LS,Africa
LR,Africa
LY,Africa
LI,Europe
LT,Europe
LU,Europe
MO,Asia
MK,Europe
MG,Africa
MW,Africa
MY,Asia
MV,Asia
ML,Africa
MT,Europe
MH,Oceania
MQ,Latin America and the Caribbean
MR,Africa
MU,Africa
YT,Africa
MX,Latin America and the Caribbean
FM,Oceania
MD,Europe
MC,Europe
MN,Asia
ME,Europe
MS,Latin America and the Caribbean
MA,Africa
MZ,Africa
MM,Asia
NA,Africa
NR,Oceania
NP,Asia
NL,Europe
NC,Oceania
NZ,Oceania
NI,Latin America and the Caribbean
NE,Africa
NG,Africa
NU,Oceania
NF,Oceania
MP,Oceania
NO,Europe
OM,Asia
PK,Asia
PW,Oceania
PS,Asia
PA,Latin America and the Caribbean
PG,Oceania
PY,Latin America and the Caribbean
PE,Latin America and the Caribbean
PH,Asia
PN,Oceania
PL,Europe
PT,Europe
PR,Latin America and the Caribbean
QA,Asia
RE,Africa
RO,Europe
RU,Europe
RW,Africa
BL,Latin America and the Caribbean
SH,Africa
KN,Latin America and the Caribbean
LC,Latin America and the Caribbean
MF,Latin America and the Caribbean
PM,North America
VC,Latin America and the Caribbean
WS,Oceania
SM,Europe
ST,Africa
SA,Asia
SN,Africa
RS,Europe
SC,Africa
SL,Africa
SG,Asia
SX,Latin America and the Caribbean
SK,Europe
SI,Europe
SB,Oceania
SO,Africa
ZA,Africa
SS,Africa
ES,Europe
LK,Asia
SD,Africa
SR,Latin America and the Caribbean
SJ,Europe
SZ,Africa
SE,Europe
CH,Europe
SY,Asia
TW,Asia
TJ,Asia
TZ,Africa
TH,Asia
TL,Asia
TG,Africa
TK,Oceania
TO,Oceania
TT,Latin America and the Caribbean
TN,Africa
TR,Asia
TM,Asia
TC,Latin America and the Caribbean
TV,Oceania
UG,Africa
UA,Europe
AE,Asia
GB,Europe
US,North America
UY,Latin America and the Caribbean
UZ,Asia
VU,Oceania
VE,Latin America and the Caribbean
VN,Asia
VG,Latin America and the Caribbean
VI,Latin America and the Caribbean
WF,Oceania
EH,Africa
YE,Asia
ZM,Africa
ZW,Africa
